,time,hrv_rnssd
0,2026-03-09T04:55:00.000,60.378
1,2026-03-09T05:00:00.000,56.251
2,2026-03-09T05:05:00.000,61.424
3,2026-03-09T05:10:00.000,90.239
4,2026-03-09T05:15:00.000,98.283
5,2026-03-09T05:20:00.000,103.933
6,2026-03-09T05:25:00.000,119.057
7,2026-03-09T05:30:00.000,124.584
8,2026-03-09T05:35:00.000,106.981
9,2026-03-09T05:40:00.000,142.717
10,2026-03-09T05:45:00.000,135.454
11,2026-03-09T05:50:00.000,124.943
12,2026-03-09T05:55:00.000,92.602
13,2026-03-09T06:00:00.000,61.949
14,2026-03-09T06:05:00.000,49.304
15,2026-03-09T06:15:00.000,70.37
16,2026-03-09T06:20:00.000,84.175
17,2026-03-09T06:40:00.000,69.797
18,2026-03-09T06:45:00.000,68.907
19,2026-03-09T06:50:00.000,102.146
20,2026-03-09T06:55:00.000,98.032
21,2026-03-09T07:00:00.000,104.045
22,2026-03-09T07:10:00.000,104.396
23,2026-03-09T07:15:00.000,63.455
24,2026-03-09T07:20:00.000,94.373
25,2026-03-09T07:25:00.000,67.683
26,2026-03-09T07:30:00.000,54.118
27,2026-03-09T07:35:00.000,106.664
28,2026-03-09T07:40:00.000,92.143
29,2026-03-09T07:45:00.000,148.091
30,2026-03-09T07:50:00.000,140.968
31,2026-03-09T07:55:00.000,152.274
32,2026-03-09T08:00:00.000,107.944
33,2026-03-09T08:05:00.000,91.797
34,2026-03-09T08:10:00.000,98.092
35,2026-03-09T08:15:00.000,77.911
36,2026-03-09T08:20:00.000,64.939
37,2026-03-09T08:25:00.000,92.305
38,2026-03-09T08:30:00.000,84.479
39,2026-03-09T08:35:00.000,114.791
40,2026-03-09T08:40:00.000,123.135
41,2026-03-09T08:45:00.000,97.163
42,2026-03-09T08:50:00.000,99.846
43,2026-03-09T08:55:00.000,74.53
44,2026-03-09T09:00:00.000,81.917
45,2026-03-09T09:05:00.000,112.626
46,2026-03-09T09:10:00.000,50.77
47,2026-03-09T09:15:00.000,72.781
48,2026-03-09T09:20:00.000,81.97
49,2026-03-09T09:25:00.000,78.747
